NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;Si;;;213.0258;126.3953;89;8846.2521;5539;690;2.2937;46;1;18;73;16;76;16;3541;470;60;75
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;Si;;;208.7653;99.4120;70;8996.7904;5638;697;1.8204;38;0;16;54;16;57;16;3532;478;60;94
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;No;75.3928;0.873709;86.2905;37.9047;2933;1555.8916;86761;33631;3.0786;278;58;44;1546;1387;1653;1410;70521;28971;50727;63045
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;--;;;0.0000;0.0000;131;0.0000;8686;16;0.8694;49;43;0;81;50;75;0;8613;14;840;940
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;--;;;0.0000;0.0000;134;0.0000;8634;14;0.8635;50;44;0;80;54;74;0;8557;13;899;1014
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;Si;;;194.5635;80.9498;57;8758.2014;5483;684;1.5906;36;0;12;44;13;48;13;3380;455;61;94
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;No;78.4362;0.883571;88.7718;39.1971;3033;1591.2246;90410;32716;3.1536;282;62;52;1570;1463;1717;1476;73054;28195;55274;67893
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;No;82.4836;0.897922;91.8605;41.0839;3179;1617.0716;92491;32635;3.2468;294;59;52;1626;1553;1769;1563;74541;28082;58607;74179
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;--;;;0.0000;0.0000;143;0.0000;8786;15;0.9399;47;6;1;89;54;81;1;8710;14;919;1051
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;Si;;;211.6056;85.2103;60;9023.7736;5662;692;1.7816;35;0;13;43;17;53;17;3465;464;65;88
